Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Toyota,RAV 4,6850000,2007,Алматы,кроссовер,2.0,автомат,249755.0,полный привод,слева,серебристый,Да
Toyota,RAV 4,12800000,2013,Алматы,кроссовер,2.5,автомат,114000.0,полный привод,слева,,Да
Renault,9,1000000,1989,Алматы,седан,1.4,механика,63000.0,передний привод,слева,белый,Да
Mazda,6,3500000,2003,Алматы,седан,2.3,автомат,,передний привод,слева,серебристый,Да
Mitsubishi,Pajero,2850000,1995,Алматы,внедорожник,2.8,механика,,полный привод,слева,,Да
Hyundai,Santa Fe,15800000,2021,Алматы,кроссовер,2.5,автомат,55000.0,полный привод,слева,черный металлик,Да
Lexus,RX 300,6250000,2002,Алматы,кроссовер,3.0,автомат,200000.0,полный привод,слева,черный металлик,Да
Toyota,4Runner,26500000,2020,Алматы,внедорожник,4.0,автомат,30000.0,полный привод,слева,серый металлик,Да
Nissan,Patrol,8000000,1999,Алматы,внедорожник,4.3,автомат,,полный привод,слева,,Да
Toyota,Avensis Verso,4800000,2003,Алматы,минивэн,2.0,механика,232000.0,передний привод,слева,черный,Да
ВАЗ (Lada),2121 Нива,4200000,2018,Алматы,внедорожник,1.7,механика,100000.0,полный привод,слева,белый,Да
Mazda,MPV,3200000,2002,Алматы,минивэн,2.5,автомат,,передний привод,слева,золотистый,Да
Renault,Duster,6990000,2018,Алматы,кроссовер,2.0,автомат,157537.0,полный привод,слева,серый,Да
Hyundai,Palisade,28422000,2022,Алматы,кроссовер,3.8,автомат,7193.0,передний привод,слева,белый,Да
Changan,CS75,10800000,2020,Алматы,кроссовер,1.8,автомат,48000.0,полный привод,слева,черный металлик,Да
Toyota,Camry,12100000,2016,Алматы,седан,2.5,автомат,115000.0,передний привод,слева,серебристый металлик,Да
Mercedes-Benz,E 220,2350000,1993,Алматы,седан,2.2,автомат,400000.0,задний привод,слева,черный,Да
Lexus,GS 300,4700000,2001,Алматы,седан,3.0,автомат,445155.0,задний привод,слева,черный,Да
Chevrolet,Captiva,7999999,2013,Алматы,кроссовер,3.0,автомат,111000.0,полный привод,слева,белый,Да
Hyundai,Solaris,4900000,2012,Алматы,седан,1.6,автомат,185000.0,передний привод,слева,синий,Да
Audi,A7,9500000,2010,Алматы,лифтбек,3.0,робот,156000.0,полный привод,слева,серый,Да
Hyundai,Tucson,5100000,2006,Алматы,кроссовер,2.0,автомат,,передний привод,слева,,Да
Volkswagen,Scirocco,6250000,2009,Алматы,хэтчбек,1.4,автомат,132622.0,передний привод,слева,серый,Да
Toyota,Camry,5000000,2013,Алматы,седан,2.0,автомат,,передний привод,слева,белый,Да
Volkswagen,Passat,3600000,2011,Алматы,седан,1.4,механика,310000.0,передний привод,слева,белый металлик,Да
